id,title,training_text,text,answer,label
d1825213-d1ca-4514-8d70-37370ed29114,"SPRING-ASSIST FOLDING KNIFE | Elk Ridge 3.5"" Blade Brown Wood Handle EDC A957BR $12.24 - PicClick",springassist folding knife elk ridge 35 blade brown wood handle edc a957br 1224 picclick,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: springassist folding knife elk ridge 35 blade brown wood handle edc a957br 1224 picclick
Label:
",not a relevant animal,0
3f257ea1-f8d3-46de-a186-fbf05bd8824b,"Pair of Viola Tricolor Earrings by Ilgiz F For Sale at 1stDibs | ilgiz f jewelry, viola jewelry, ilgiz fazulzyanov",pair of viola tricolor earrings by ilgiz f for sale at 1stdibs ilgiz f jewelry viola jewelry ilgiz fazulzyanov,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: pair of viola tricolor earrings by ilgiz f for sale at 1stdibs ilgiz f jewelry viola jewelry ilgiz fazulzyanov
Label:
",not a relevant animal,0
dab4ade1-5393-40ae-837d-f590fdb94795,"Pair of Black Marble and Bronze Obelisks ""Gold Lizard"", Limited Edition, 2017 For Sale at 1stDibs | obelisk lizard",pair of black marble and bronze obelisks gold lizard limited edition 2017 for sale at 1stdibs obelisk lizard,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: pair of black marble and bronze obelisks gold lizard limited edition 2017 for sale at 1stdibs obelisk lizard
Label:
",not a relevant animal,0
a0df0eb4-7f81-48cb-9a6b-680c829b22f6,Chanel Striped Navy Mixed Fibres Large Deauville Tote For Sale at 1stDibs,chanel striped navy mixed fibres large deauville tote for sale at 1stdibs,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: chanel striped navy mixed fibres large deauville tote for sale at 1stdibs
Label:
",not a relevant animal,0
907b17c1-e83b-432f-8717-f799f4ef9528,Table Lamp/Large Floor Lamp VL Studio by Louis Poulsen. For Sale at 1stDibs,table lamplarge floor lamp vl studio by louis poulsen for sale at 1stdibs,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: table lamplarge floor lamp vl studio by louis poulsen for sale at 1stdibs
Label:
",not a relevant animal,0
470944ce-7f2c-4ab8-866c-56c5c368912c,1880s Antique Persian Mohtasham Kashan 9x12 Indigo Blue and Ivory Area Rug For Sale at 1stDibs,1880s antique persian mohtasham kashan 9x12 indigo blue and ivory area rug for sale at 1stdibs,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: 1880s antique persian mohtasham kashan 9x12 indigo blue and ivory area rug for sale at 1stdibs
Label:
",not a relevant animal,0
4dc7041a-4732-448f-9ad7-bc222e36715a,Victorian Renaissance Revival Articulated Long Earrings For Sale at 1stDibs | 1860s earrings,victorian renaissance revival articulated long earrings for sale at 1stdibs 1860s earrings,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: victorian renaissance revival articulated long earrings for sale at 1stdibs 1860s earrings
Label:
",not a relevant animal,0
d2c3108a-198f-49f8-b5c4-9dadb3f8e16c,Tupperware Teenager Mutant Ninja Turtles Sandwich Keeper New   | eBay,tupperware teenager mutant ninja turtles sandwich keeper new ebay,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: tupperware teenager mutant ninja turtles sandwich keeper new ebay
Label:
",not a relevant animal,0
8b34bd0d-f164-40be-8903-f8ae8551eee3,"Vibes smartphone screen projector For Sale in Chepstow, Monmouthshire | Preloved",vibes smartphone screen projector for sale in chepstow monmouthshire preloved,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: vibes smartphone screen projector for sale in chepstow monmouthshire preloved
Label:
",not a relevant animal,0
2348a3bb-4bab-42cd-98e9-70665765d8fe,Mid Century Sculptural Made to Measure Amphora Corner sofa For Sale at 1stDibs,mid century sculptural made to measure amphora corner sofa for sale at 1stdibs,"You are a labeling tool to create labels for a classification task.
I will provide text data from an advertisement of a product.
The product should be classified in two labels:
Label 1: relevant animal - if the product is from any of those 3 animals: Shark, Ray or Chimaeras. It should be from a real animal. Not an image or plastic for example.
Label 2: not a relevant animal - if the product is from any other animal that is not Shark, Ray, or Chimaeras, or if the product is 100% synthetic (vegan).
For products such as teeth, if it's mentioned that is only one tooth, you can label it as not a relevant animal. I am only interested in more than one tooth. Also if mentions it's a fossil, we are not interested. You can label it as not a relevant animal.
Return only one of the two labels: relevant animal or not a relevant animal. No explanation is necessary.

Examples:
1. Advertisement: Great White Shark Embroidered Patch Iron on Patch For Clothes
Label: not a relevant animal

2. Advertisement: (sj480-50) 6"" White Tip Reef SHARK jaw love sharks jaws teeth Triaenodon obesus
Label: relevant animal

3. Advertisement: Wholesale Group - 20 Perfect 5/8"" Modern Tiger Shark Teeth
Label: relevant animal

4. Advertisement: Mario Buccellati, a Rare and Exceptional Italian Silver Goat For Sale at 1stDibs
Label: not a relevant animal

5. Advertisement: HUGE SHARK TOOTH FOSSIL 3&1/4"" GREAT Serrations Upper Principal
Label: not a relevant animal

6. Advertisement: mid century sculptural made to measure amphora corner sofa for sale at 1stdibs
Label:
",not a relevant animal,0
